bowler,opponent,matches,wickets,avg
Shane Warne,Bangladesh,2,11,27.27
Shane Warne,England,36,195,23.25
Shane Warne,India,14,43,47.18
Shane Warne,New Zealand,20,103,24.37
Shane Warne,Pakistan,15,90,20.17
Shane Warne,South Africa,24,130,24.16
Shane Warne,Sri Lanka,13,59,25.54
Shane Warne,West Indies,19,65,29.95
Shane Warne,Zimbabwe,1,6,22.83
Pat Cummins,England,27,128,25.57
Pat Cummins,India,23,66,35.84
Pat Cummins,New Zealand,10,37,26.64
Pat Cummins,Pakistan,14,54,30.00
Pat Cummins,South Africa,10,47,28.06
Pat Cummins,Sri Lanka,11,57,18.89
Pat Cummins,West Indies,10,44,19.09
Nathan Lyon,Bangladesh,2,22,14.31
Nathan Lyon,England,32,115,29.50
Nathan Lyon,India,32,130,31.93
Nathan Lyon,New Zealand,12,63,18.87
Nathan Lyon,Pakistan,15,58,42.12
Nathan Lyon,South Africa,19,56,40.80
Nathan Lyon,Sri Lanka,15,60,31.98
Nathan Lyon,West Indies,14,63,22.28
